240	1.686734374	1.358334586
241	1.742693442	1.427228235
242	1.795195428	1.490881157
243	1.844498711	1.549895317
244	1.890830234	1.604755113
245	1.934389157	1.6558567
246	1.975350754	1.703528867
247	2.013869668	1.74804778
248	2.050083129	1.789648244
249	2.084113103	1.828531495
250	2.116068772	1.864871859
251	2.146048156	1.898821395
252	2.174139511	1.930513562
253	2.200422787	1.960066438
254	2.224970501	1.987584899
255	2.247848879	2.013162831
256	2.269118388	2.036884449
257	2.288834442	2.058825661
258	2.307048066	2.079055261
259	2.32380643	2.09763589
260	2.339152991	2.114624486
261	2.353128237	2.130073356
262	2.365769682	2.144030361
263	2.37711238	2.156539651
264	2.387189036	2.16764192
265	2.396030274	2.177374812
266	2.403664826	2.185773226
267	2.410119761	2.192869641
268	2.41542049	2.198694191
269	2.419591101	2.203275085
270	2.42265434	2.206638631
271	2.424631815	2.208809507
272	2.425543961	2.20981074
273	2.425410274	2.209664001
274	2.424249443	2.208389767
275	2.422079141	2.206007109
276	2.418916433	2.202534157
277	2.4147777	2.19798802
278	2.409678646	2.192384815
279	2.403634364	2.185739727
280	2.396659528	2.178067238
281	2.399755473	2.181473431
282	2.395925567	2.17725959
283	2.392044864	2.17298841
284	2.388117078	2.168663916
285	2.384145845	2.164290048
286	2.38013462	2.159870554
287	2.376086977	2.155409317
288	2.372006151	2.150909849
289	2.367895489	2.146375794
290	2.363758148	2.141810585
291	2.359597185	2.137217555
292	2.355415667	2.132600048
293	2.351216453	2.127961185
294	2.347002509	2.123304213
295	2.342776486	2.118632026
296	2.338541132	2.113947641
297	2.334299035	2.109253893
298	2.330052716	2.104553554
299	2.32580469	2.099849389
300	2.321557295	2.095143974
301	2.317312797	2.09043981
302	2.313073559	2.085739506
303	2.30884159	2.081045287
304	2.304619102	2.076359604
305	2.300408058	2.071684637
306	2.296210454	2.067022605
307	2.292028086	2.06237551
308	2.287862891	2.057745516
309	2.283716547	2.053134499
310	2.279590756	2.048544364
311	2.275487122	2.043976918
312	2.271407216	2.039433927
313	2.267352567	2.034917114
314	2.263324544	2.030428032
315	2.259324593	2.025968316
316	2.255353935	2.021539357
317	2.251413923	2.017142695
318	2.247505681	2.012779617
319	2.243630404	2.00845149
320	2.239789112	2.004159492
321	2.235982896	1.999904875
322	2.232212666	1.995688699
323	2.228479398	1.991512096
324	2.224783952	1.987376067
325	2.221127123	1.983281547
326	2.217509647	1.979229404
327	2.213932323	1.975220578
328	2.210395697	1.971255726
329	2.2069005	1.967335716
330	2.203447274	1.963461201
331	2.200036552	1.959632831
332	2.196668804	1.955851179
333	2.193344424	1.952116739
334	2.190063932	1.948430144
335	2.186827515	1.944791655
336	2.183635679	1.941201891
337	2.180488528	1.937661018
338	2.177386419	1.93416949
339	2.174329435	1.930727452
340	2.171317847	1.927335257
341	2.168351717	1.923993027
342	2.165431159	1.920700941
343	2.162556211	1.917459091
344	2.159726963	1.914267629
345	2.15694336	1.911126541
346	2.154205329	1.908035797
347	2.151512856	1.904995425
348	2.148865773	1.902005287
349	2.146264035	1.899065377
350	2.143707515	1.8961756
351	2.141195931	1.893335685
352	2.138729126	1.890545497
353	2.136306928	1.887804887
354	2.133929007	1.885113526
355	2.131595161	1.882471229
356	2.129305099	1.879877711
357	2.127058447	1.877332585
358	2.12485488	1.874835529
359	2.122694135	1.872386282
360	2.120575713	1.869984319
361	2.118499389	1.867629423
362	2.116464633	1.865321029
363	2.114471043	1.86305872
364	2.112518275	1.860842138
365	2.110605822	1.858670744
366	2.108733307	1.856544144
367	2.106900192	1.85446176
368	2.105105995	1.852423076
369	2.103350294	1.850427643
370	2.101632502	1.848474824
371	2.09995224	1.846564218
372	2.09830889	1.84469515
373	2.096702043	1.842867184
374	2.09513105	1.841079606
375	2.093595472	1.839331945
376	2.092094784	1.837623624
377	2.09062844	1.835954051
378	2.08919581	1.834322527
379	2.08779655	1.832728686
380	2.086429847	1.831171621
381	2.085095407	1.829651021
382	2.083792543	1.82816612
383	2.082520783	1.826716401
384	2.081279486	1.825301153
385	2.080068234	1.823919916
386	2.078886362	1.822571948
387	2.077733346	1.82125667
388	2.076608733	1.819973579
389	2.075511896	1.818721978
390	2.074442358	1.817501334
391	2.073399549	1.816311012
392	2.072382968	1.815150453
393	2.071392102	1.814019085
394	2.070426347	1.812916231
395	2.069485332	1.811841477
396	2.06856843	1.810794121
397	2.067675168	1.809773632
398	2.066805143	1.80877956
399	2.065957698	1.807811166
